Date,Open,High,Low,Close,Volume,EF_1,EF_2,Oil FutureTrend,Gold FutureTrend,Trend,Twitter Sentiments,FutureTrend
10/08/2018,31.64999962,32.25,31.46999931,32.00999832,16073900,0.692305811,1.137436674,Positive,Positive,Positive,23,Negative
13/08/2018,32.04000092,33.61999893,32.02000046,32.79999924,44235300,0.487499702,2.37202965,Positive,Negative,Positive,0,Negative
14/08/2018,33.40000153,33.43000031,32.52000046,33.18999863,26442600,0.736261848,-0.628751166,Positive,Positive,Negative,0,Positive
15/08/2018,32.81000137,33.22999954,31.95000076,32.38000107,26433400,0.335938059,-1.310576919,Negative,Positive,Negative,0,Negative
16/08/2018,32.70000076,33.15000153,32.41999817,32.83000183,20873200,0.561646269,0.397556774,Negative,Negative,Positive,63,Positive
17/08/2018,32.74000168,33.09000015,32.34000015,32.72999954,14874600,0.519999186,-0.030550201,Negative,Negative,Negative,110,Positive
20/08/2018,32.79000092,32.93999863,32.20000076,32.59999847,16535700,0.540539008,-0.579452382,Negative,Negative,Negative,0,Negative
21/08/2018,32.75,34.13999939,32.59999847,33.68999863,29575700,0.707791886,2.870224814,Negative,Negative,Positive,0,Negative
22/08/2018,33.45000076,34.16999817,33.34999847,33.81000137,18576300,0.560979354,1.076234984,Positive,Positive,Positive,56,Negative
23/08/2018,33.90000153,34.74000168,33.72000122,33.88000107,25746300,0.156862525,-0.058998398,Negative,Negative,Negative,47,Negative
24/08/2018,34,34.49000168,33.93000031,34.27999878,15214000,0.624995743,0.823525821,Negative,Negative,Positive,56,Negative
27/08/2018,34.65999985,36,34.47999954,35.88999939,28306300,0.927631199,3.548758072,Positive,Positive,Positive,34,Positive
28/08/2018,35.97999954,36.04000092,34.88999939,35.49000168,22281600,0.521740428,-1.361861784,Negative,Positive,Negative,22,Positive
29/08/2018,35.40999985,35.59999847,34.81000137,35.34999847,17697200,0.683543142,-0.169447539,Negative,Positive,Negative,232,Negative
30/08/2018,35.27000046,36.15000153,35.20999908,35.63999939,19217200,0.457445945,1.049047142,Positive,Negative,Positive,53,Positive
31/08/2018,35.56999969,35.72000122,34.59000015,35.18000031,19073900,0.522123535,-1.096427869,Negative,Positive,Negative,204,Positive
04/09/2018,34.75,35.13000107,34.47999954,34.84000015,13567600,0.553845793,0.258993245,Positive,Negative,Positive,0,Positive
05/09/2018,34.65000153,34.70000076,32.50999832,32.72999954,36051100,0.100457066,-5.541131022,Positive,Negative,Negative,0,Positive
06/09/2018,32.86000061,32.95000076,30.62000084,30.80999947,36023600,0.081544478,-6.238591316,Positive,Positive,Negative,0,Positive
07/09/2018,30.30999947,31.38999939,29.81999969,30.48999977,31484200,0.426751724,0.593864429,Positive,Positive,Positive,31,Negative
10/09/2018,30.5,30.60000038,29.95000076,30.54000092,17805800,0.907693075,0.131150543,Negative,Negative,Positive,69,Negative
11/09/2018,30.44000053,31.44000053,30.35000038,30.88999939,16000100,0.495411865,1.478314217,Negative,Negative,Positive,26,Positive
12/09/2018,30.61000061,30.82999992,29.25,29.75,29845200,0.316455711,-2.809541304,Positive,Positive,Negative,0,Negative
13/09/2018,30.10000038,30.56999969,29.86000061,30.38999939,18522500,0.746478117,0.963451842,Negative,Positive,Positive,0,Positive
14/09/2018,30.45000076,30.77000046,30.05999947,30.12000084,13474700,0.084508858,-1.083743565,Positive,Negative,Negative,29,Positive
17/09/2018,29.04999924,29.28000069,28.43000031,28.86000061,30592300,0.505882485,-0.65404004,Negative,Positive,Negative,0,Negative
18/09/2018,28.84000015,29.62999916,28.75,29.21999931,15856800,0.534090638,1.317611507,Negative,Negative,Positive,87,Negative
19/09/2018,29.14999962,29.55999947,28.81999969,29.52000046,16023500,0.94594727,1.269299637,Positive,Negative,Positive,0,Negative
20/09/2018,29.70000076,30.02000046,29.23999977,29.85000038,15378000,0.782051376,0.505049208,Positive,Positive,Positive,165,Positive
21/09/2018,29.86000061,29.95000076,28.48999977,28.5,43122600,0.006849467,-4.554590029,Negative,Negative,Negative,0,Negative
24/09/2018,28.32999992,29.12000084,27.93000031,28.60000038,20249000,0.563025022,0.953054919,Negative,Negative,Positive,0,Negative
25/09/2018,28.75,29.23999977,28.44000053,29.11000061,16130300,0.837500894,1.252176036,Positive,Positive,Positive,28,Positive
26/09/2018,29.20000076,29.45000076,28.79999924,29.01000023,12742100,0.323077691,-0.650686743,Negative,Positive,Negative,0,Negative
27/09/2018,29.05999947,29.69000053,28.87999916,29.42000008,14830500,0.666666667,1.238818365,Negative,Negative,Positive,45,Positive
28/09/2018,29.25,29.28000069,28.40999985,28.45999908,22719600,0.057470332,-2.700857831,Negative,Positive,Negative,0,Positive
01/10/2018,28.51000023,28.70000076,28,28.30999947,20538900,0.442855897,-0.701510913,Positive,Negative,Negative,0,Positive
02/10/2018,28.13999939,28.62000084,27.90999985,28.19000053,17714400,0.394366613,0.177687084,Negative,Positive,Positive,0,Negative
03/10/2018,28.37999916,29.12000084,28.25,29.01000023,19358700,0.873562639,2.219876979,Positive,Positive,Positive,0,Positive
04/10/2018,28.75,28.76000023,27.87000084,28.22999954,21120400,0.404493202,-1.808697244,Negative,Negative,Negative,0,Negative
05/10/2018,28.34000015,28.95999908,27.96999931,28.38999939,28996100,0.424242599,0.176426382,Positive,Positive,Positive,135,Negative
08/10/2018,28.20999908,28.94000053,27.71999931,28.45000076,22114400,0.598361245,0.850768119,Negative,Negative,Positive,26,Negative
09/10/2018,28.70000076,29.56999969,28.34000015,29.27000046,22749300,0.75609809,1.986061602,Positive,Negative,Positive,26,Positive
10/10/2018,29.12000084,29.12000084,26.76000023,26.79000092,40399400,0.012712152,-8.001373134,Positive,Negative,Negative,63,Negative
11/10/2018,26.35000038,27.57999992,26.19000053,27,33065300,0.582733685,2.466791685,Negative,Positive,Positive,0,Negative
12/10/2018,28.09000015,28.17000008,27.26000023,27.98999977,27127500,0.802197434,-0.355999932,Negative,Negative,Negative,24,Negative
15/10/2018,27.85000038,29.04999924,27.59000015,28.61000061,20225200,0.698630889,2.728905632,Negative,Negative,Positive,20,Negative
16/10/2018,29.10000038,29.88999939,28.84000015,29.87000084,18443000,0.980953748,2.646049648,Positive,Positive,Positive,58,Positive
