Date,Open,High,Low,Close,Volume,EF_1,EF_2,Oil FutureTrend,Gold FutureTrend,Trend,Twitter Sentiments,FutureTrend
21/08/2018,1.549999952,1.600000024,1.519999981,1.590000033,240700,0.875000186,2.580650471,Negative,Negative,Positive,0,Positive
22/08/2018,1.580000043,1.580000043,1.5,1.529999971,226300,0.374999441,-3.164561403,Positive,Positive,Negative,0,Positive
23/08/2018,1.529999971,1.529999971,1.450000048,1.5,262600,0.625,-1.96078248,Negative,Negative,Negative,34,Positive
24/08/2018,1.50999999,1.50999999,1.429999948,1.460000038,348800,0.375000931,-3.311255141,Negative,Negative,Negative,0,Negative
27/08/2018,1.450000048,1.5,1.440000057,1.470000029,297700,0.5,1.379308984,Positive,Positive,Positive,0,Neutral
28/08/2018,1.460000038,1.49000001,1.429999948,1.470000029,268500,0.666667329,0.684930836,Negative,Positive,Positive,0,Positive
29/08/2018,1.49000001,1.519999981,1.419999957,1.460000038,520200,0.400000715,-2.013420886,Negative,Positive,Negative,0,Positive
30/08/2018,1.480000019,1.480000019,1.399999976,1.409999967,495700,0.124999814,-4.729733213,Positive,Negative,Negative,24,Positive
31/08/2018,1.409999967,1.440000057,1.379999995,1.399999976,420900,0.333332671,-0.709219199,Negative,Positive,Negative,17,Negative
04/09/2018,1.419999957,1.419999957,1.350000024,1.419999957,591000,1,0,Positive,Negative,Neutral,0,Positive
05/09/2018,1.399999976,1.399999976,1.320000052,1.350000024,579800,0.375,-3.571425226,Positive,Negative,Negative,29,Positive
06/09/2018,1.370000005,1.370000005,1.309999943,1.340000033,374200,0.500000993,-2.189778926,Positive,Positive,Negative,16,Negative
07/09/2018,1.340000033,1.480000019,1.340000033,1.450000048,584700,0.785714468,8.208956087,Positive,Positive,Positive,0,Positive
10/09/2018,1.399999976,1.429999948,1.360000014,1.379999995,423700,0.285714286,-1.428570091,Negative,Negative,Negative,34,Positive
11/09/2018,1.379999995,1.379999995,1.309999943,1.320000052,457900,0.142858603,-4.347821956,Negative,Negative,Negative,0,Negative
12/09/2018,1.340000033,1.350000024,1.159999967,1.340000033,2096900,0.947368487,0,Positive,Positive,Neutral,0,Positive
13/09/2018,1.320000052,1.330000043,1.179999948,1.210000038,1099200,0.200000477,-8.333334086,Negative,Positive,Negative,0,Negative
14/09/2018,1.200000048,1.269999981,1.049999952,1.25999999,1178600,0.954545504,4.999995033,Positive,Negative,Positive,0,Negative
17/09/2018,1.269999981,1.350000024,1.25,1.309999943,563600,0.599999285,3.149603343,Negative,Positive,Positive,30,Negative
18/09/2018,1.330000043,1.440000057,1.330000043,1.429999948,979800,0.909089924,7.518789579,Negative,Negative,Positive,0,Positive
19/09/2018,1.419999957,1.429999948,1.320000052,1.330000043,642000,0.090909091,-6.338022316,Positive,Negative,Negative,60,Neutral
20/09/2018,1.330000043,1.340000033,1.269999981,1.330000043,379300,0.8571431,0,Positive,Positive,Neutral,0,Positive
21/09/2018,1.330000043,1.330000043,1.269999981,1.299999952,412200,0.499999007,-2.255645837,Negative,Negative,Negative,0,Positive
24/09/2018,1.25,1.289999962,1.159999967,1.210000038,906600,0.384615949,-3.199996948,Negative,Negative,Negative,0,Positive
25/09/2018,1.210000038,1.210000038,1.120000005,1.139999986,1020300,0.222221928,-5.785128119,Positive,Positive,Negative,26,Negative
26/09/2018,1.139999986,1.269999981,1.070000052,1.159999967,2056300,0.449999732,1.754384314,Negative,Positive,Positive,26,Negative
27/09/2018,1.200000048,1.25999999,1.149999976,1.179999948,764100,0.272726977,-1.666674945,Negative,Negative,Negative,6,Neutral
28/09/2018,1.210000038,1.210000038,1.139999986,1.179999948,262200,0.571427598,-2.479346252,Negative,Positive,Negative,13,Negative
01/10/2018,1.169999957,1.190000057,1.120000005,1.190000057,277900,1,1.709410331,Positive,Negative,Positive,0,Positive
02/10/2018,1.190000057,1.220000029,1.159999967,1.179999948,187500,0.333332671,-0.84034531,Negative,Positive,Negative,0,Positive
03/10/2018,1.159999967,1.190000057,1.159999967,1.159999967,207300,0,0,Positive,Positive,Neutral,0,Positive
04/10/2018,1.149999976,1.220000029,1.139999986,1.149999976,592600,0.124999814,0,Negative,Negative,Neutral,0,Negative
05/10/2018,1.149999976,1.190000057,1.129999995,1.179999948,267000,0.833331678,2.608693218,Positive,Positive,Positive,23,Positive
09/10/2018,1.149999976,1.159999967,1.100000024,1.100000024,619300,0,-4.347822031,Positive,Negative,Negative,8,Positive
10/10/2018,1.100000024,1.100000024,0.970000029,1.019999981,1320400,0.384615032,-7.272731016,Positive,Negative,Negative,21,Positive
11/10/2018,1.080000043,1.110000014,0.899999976,0.920000017,1504600,0.095238271,-14.81481665,Negative,Positive,Negative,31,Positive
12/10/2018,0.899999976,0.930000007,0.839999974,0.850000024,2434400,0.111111626,-5.555550405,Negative,Negative,Negative,30,Positive
15/10/2018,0.839999974,0.839999974,0.74000001,0.75,2617500,0.09999994,-10.71428293,Negative,Negative,Negative,0,Positive
16/10/2018,0.300000012,0.469999999,0.234999999,0.314999998,23030500,0.340425525,4.999995033,Positive,Positive,Positive,0,Negative
17/10/2018,0.349999994,0.400000006,0.324999988,0.370000005,7017400,0.600000079,5.714288877,Positive,Negative,Positive,0,Negative
18/10/2018,0.405000001,0.600000024,0.400000006,0.589999974,14098200,0.949999754,45.67900544,Negative,Positive,Positive,0,Negative
19/10/2018,0.600000024,0.870000005,0.600000024,0.699999988,12287900,0.370370264,16.66666004,Negative,Positive,Positive,0,Positive
22/10/2018,0.720000029,0.720000029,0.540000021,0.589999974,2533400,0.277777502,-18.05556245,Positive,Negative,Negative,0,Positive
23/10/2018,0.519999981,0.649999976,0.5,0.529999971,2595400,0.199999841,1.92307516,Negative,Positive,Positive,0,Negative
24/10/2018,0.519999981,0.589999974,0.519999981,0.579999983,912500,0.857142979,11.53846242,Negative,Negative,Positive,15,Positive
25/10/2018,0.550000012,0.600000024,0.529999971,0.529999971,887400,0,-3.636370927,Negative,Negative,Negative,23,Positive
26/10/2018,0.495000005,0.529999971,0.449999988,0.479999989,3476900,0.375000093,-3.030306132,Positive,Positive,Negative,20,Positive
29/10/2018,0.455000013,0.469999999,0.400000006,0.444999993,1489200,0.642857021,-2.197806588,Positive,Positive,Negative,39,Negative
30/10/2018,0.419999987,0.629999995,0.419999987,0.449999988,4623700,0.142857143,7.14285765,Positive,Positive,Positive,36,Positive
31/10/2018,0.460000008,0.465000004,0.419999987,0.430000007,2053900,0.22222259,-6.521739271,Positive,Negative,Negative,0,Positive
01/11/2018,0.435000002,0.449999988,0.405000001,0.414999992,877000,0.222222075,-4.597703591,Positive,Positive,Negative,0,Positive
02/11/2018,0.409999996,0.430000007,0.38499999,0.389999986,1344300,0.111110964,-4.87805144,Positive,Positive,Negative,42,Positive
05/11/2018,0.36500001,0.379999995,0.340000004,0.349999994,1753400,0.249999814,-4.10959318,Positive,Positive,Negative,0,Negative
06/11/2018,0.349999994,0.375,0.340000004,0.360000014,1309000,0.571428936,2.857148696,Positive,Negative,Positive,31,Neutral
07/11/2018,0.354999989,0.36500001,0.349999994,0.360000014,503700,0.666667329,1.408457799,Positive,Positive,Positive,20,Positive
08/11/2018,0.370000005,0.370000005,0.349999994,0.354999989,359000,0.249999627,-4.05405819,Positive,Positive,Negative,3,Positive
09/11/2018,0.360000014,0.360000014,0.330000013,0.335000008,484200,0.166666501,-6.944445824,Positive,Positive,Negative,16,Positive
12/11/2018,0.330000013,0.330000013,0.310000002,0.324999988,409900,0.749998882,-1.515159041,Positive,Positive,Negative,0,Negative
13/11/2018,0.319999993,0.335000008,0.314999998,0.330000013,306100,0.750000373,3.125006403,Negative,Negative,Positive,26,Neutral
14/11/2018,0.330000013,0.330000013,0.319999993,0.330000013,222400,1,0,Negative,Negative,Neutral,0,Negative
15/11/2018,0.319999993,0.419999987,0.319999993,0.409999996,1479800,0.900000089,28.12500175,Neutral,Negative,Positive,0,Positive
16/11/2018,0.370000005,0.38499999,0.340000004,0.36500001,409400,0.55555585,-1.351350045,Negative,Negative,Negative,18,Positive
19/11/2018,0.349999994,0.370000005,0.330000013,0.340000004,358800,0.249999814,-2.857140181,Positive,Positive,Negative,0,Neutral
20/11/2018,0.340000004,0.344999999,0.319999993,0.340000004,329600,0.800000238,0,Negative,Negative,Neutral,28,Negative
21/11/2018,0.335000008,0.349999994,0.330000013,0.344999999,339700,0.75,2.985071706,Positive,Positive,Positive,6,Positive
22/11/2018,0.344999999,0.344999999,0.324999988,0.335000008,236200,0.500000745,-2.89854797,Neutral,Neutral,Negative,0,Positive
